Genetic Algorithm

Error results
---------------------------
711.250, 60.09563138448163%
696.468, 60.443381873505764%
955.649, 42.18648119973919%
652.901, 52.35818300369485%
567.249, 58.965442295153224%
701.153, 45.2727667898283%
573.870, 57.509237122364695%
626.380, 59.87828732884155%
542.960, 59.487068028689414%
663.906, 56.48772006085634%
630.888, 59.008911106281246%
835.876, 60.39991306237774%
574.119, 60.50858509019778%
664.825, 60.72592914583787%
578.502, 60.312975440121704%
582.913, 57.204955444468595%
700.607, 42.881982177787435%
506.237, 65.11627906976744%
635.703, 60.443381873505764%
521.356, 64.50771571397522%
572.338, 60.09563138448163%
536.121, 60.05216257335362%
586.927, 58.74809823951315%
546.750, 59.59574005650945%
532.192, 61.74744620734622%
647.520, 51.249728319930455%
563.113, 59.57400565094545%
540.316, 57.704846772440774%
548.128, 59.26972397304934%
559.432, 60.247772223429685%
502.535, 64.76852858074331%
537.191, 64.35557487502717%
595.983, 60.378178656813745%
531.818, 60.008693762225604%
633.744, 47.576613779613126%
559.746, 55.05324929363182%
583.492, 52.532058248206916%
673.403, 46.728971962616825%
533.830, 62.44294718539448%
518.448, 64.02955879156706%
532.204, 63.31232340795479%
521.101, 63.399261030210816%
834.211, 59.4653336231254%
598.147, 57.29189306672462%
561.168, 52.597261464898935%
556.694, 65.48576396435557%
652.544, 57.965659639208866%
622.486, 58.16126928928493%
623.029, 48.57639643555749%
588.776, 57.617909150184744%
531.212, 58.94370788958923%
662.458, 60.11736579004564%
751.266, 60.57378830688981%
548.622, 60.008693762225604%
512.479, 66.4203434036079%
554.928, 59.813084112149525%
566.238, 60.247772223429685%
533.539, 58.87850467289719%
567.554, 59.33492718974136%
592.369, 60.89980439034992%
634.354, 60.791132362529886%
669.793, 59.98695935666159%
558.257, 58.465550967181045%
630.448, 49.96739839165399%
523.195, 62.573353618778526%
663.512, 48.0547707020213%
544.458, 60.22603781786569%
590.944, 59.26972397304934%
565.966, 56.683329710932405%
503.219, 65.05107585307542%
535.166, 60.747663551401864%
532.085, 57.85698761138883%
681.504, 57.66137796131275%
640.199, 60.29124103455771%
664.163, 48.55466202999348%
631.707, 59.96522495109758%
601.254, 51.575744403390566%
614.279, 57.90045642251685%
508.966, 66.4203434036079%
534.480, 54.66202999347968%
595.131, 51.18452510323843%
502.430, 64.46424690284721%
602.889, 60.42164746794175%
496.161, 66.24646815909585%
522.861, 60.16083460117366%
576.894, 58.94370788958923%
535.126, 59.98695935666159%
559.689, 59.18278635079331%
556.985, 59.921756139969574%
573.347, 56.596392088676374%
758.868, 60.42164746794175%
528.687, 59.98695935666159%
537.414, 58.24820691154097%
529.660, 59.4653336231254%
500.691, 66.4203434036079%
515.977, 65.68137361443165%
541.085, 59.53053683981743%
582.565, 60.16083460117366%
629.993, 60.378178656813745%
555.819, 56.29211041078026%
573.989, 58.11780047815692%
653.682, 60.42164746794175%
560.038, 58.16126928928493%
